TS_LOAD,SYS_DESC,VEH_SER_NO,OPR_NAME
2017-03-06 05:11:54.801965,Paint Inspection,TPD286,PAINT
2017-03-06 05:36:09.000000,STVMS Tracking Top Station,SLP187,Top Station
2017-03-06 05:36:14.000000,STVMS Tracking Top Station,SGN329,Top Station
2017-03-06 05:40:50.327000,Assembly Line Tracker,SGN329,Pool 60 Start
2017-03-06 05:40:50.537000,Assembly Line Tracker,SLP187,Pool 60 Start
2017-03-06 06:36:20.203000,Cab call scan,TGJ401,A Line
2017-03-06 06:37:51.957000,Cab Conveyer,TFU306,Cab Upload 2
2017-03-06 06:37:51.957000,Cab Conveyor / Monorail,TFU306,Cab Upload
2017-03-06 06:40:00.250000,OMT Offline Tracking,EMV512,Enter Offline
2017-03-06 06:40:00.250000,OMT Offline Tracking,EMV512,Sold
2017-03-06 06:41:51.032556,Paint Inspection,KQN543,PAINT
2017-03-06 06:44:12.253000,Cab Conveyer,LNY482,Cab Upload 2
2017-03-06 06:44:12.253000,Cab Conveyor / Monorail,LNY482,Cab Upload
2017-03-06 06:45:42.000000,U-BOLT,QVS392,Front U-Bolt
2017-03-06 06:46:55.540000,Cab Call Scan,ULN810,B Line
2017-03-06 06:48:24.390000,OMT Offline Tracking,SVK948,Enter Offline
2017-03-06 06:51:41.000000,U-BOLT,HMX073,Front U-Bolt
2017-03-06 06:53:06.193000,Hood Conveyor,CXD285,Hood Upload
2017-03-06 06:53:14.217000,Cab Conveyer,KWT597,Cab Upload 2
2017-03-06 06:53:14.217000,Cab Conveyor / Monorail,KWT597,Cab Upload
2017-03-06 06:53:41.726312,Paint Inspection,XGW598,PAINT
2017-03-06 06:54:33.939846,Paint Inspection,YDL247,PAINT
2017-03-06 06:55:50.220000,Assembly Line Tracker,EQK798,Pool 13 Start
2017-03-06 06:56:00.477000,Cab call scan,OIF375,A Line
2017-03-06 06:56:39.143000,Hood Conveyor,BEM390,Hood Upload
2017-03-06 06:57:09.000000,U-BOLT,WDM529,Front U-Bolt
2017-03-06 06:57:34.000000,STVMS Tracking Chassis Start,DFZ024,Chassis Start
2017-03-06 06:59:37.777000,OMT Offline Tracking,XKG621,Enter Offline
2017-03-06 07:00:31.597000,Cab Conveyer,UJB305,Cab Upload 2
2017-03-06 07:00:31.597000,Cab Conveyor / Monorail,UJB305,Cab Upload
2017-03-06 07:00:50.547000,Assembly Line Tracker,GDU671,Pool 13 Start
2017-03-06 07:00:50.820000,Assembly Line Tracker,TGS974,Pool 13 Start
2017-03-06 07:01:27.307000,OMT Offline Tracking,RTW145,Enter Offline
2017-03-06 07:01:27.307000,OMT Offline Tracking,RTW145,Sold
2017-03-06 07:04:25.220000,Cab Call Scan,FNG604,B Line
2017-03-06 07:05:29.000000,U-BOLT,XSF309,Front U-Bolt
2017-03-06 07:05:50.240000,Assembly Line Tracker,ELI075,Pool 13 Start
2017-03-06 07:09:46.277000,Hood Conveyor,CVE258,Hood Upload
2017-03-06 07:10:05.240000,Cab call scan,NVM832,A Line
2017-03-06 07:10:06.000000,STVMS Tracking Chassis Start,EQK798,Chassis Start
2017-03-06 07:10:09.000000,STVMS Tracking Chassis Start,TGS974,Chassis Start
2017-03-06 07:10:11.000000,STVMS Tracking Chassis Start,GDU671,Chassis Start
2017-03-06 07:10:14.000000,STVMS Tracking Chassis Start,ELI075,Chassis Start
2017-03-06 07:11:14.837000,Cab Conveyer,TGJ401,Cab Upload 2
2017-03-06 07:11:14.837000,Cab Conveyor / Monorail,TGJ401,Cab Upload
2017-03-06 07:11:35.000000,U-BOLT,GMS924,Front U-Bolt
2017-03-06 07:13:03.367000,OMT Offline Tracking,KIM819,Enter Offline
2017-03-06 07:14:05.477000,OMT Offline Tracking,UFV140,Enter Offline
2017-03-06 07:15:03.257000,Cab Conveyer,ULN810,Cab Upload 2
2017-03-06 07:15:03.257000,Cab Conveyor / Monorail,ULN810,Cab Upload
2017-03-06 07:15:50.280000,Assembly Line Tracker,PEK163,Pool 13 Start
2017-03-06 07:17:28.207000,Hood Conveyor,RCF947,Hood Upload
2017-03-06 07:17:29.237000,Cab Call Scan,YKZ247,B Line
2017-03-06 07:17:34.000000,U-BOLT,ITO673,Front U-Bolt
2017-03-06 07:21:46.973000,Cab Conveyer,OIF375,Cab Upload 2
2017-03-06 07:21:46.973000,Cab Conveyor / Monorail,OIF375,Cab Upload
2017-03-06 07:22:17.130000,OMT Offline Tracking,YTG326,Enter Offline
2017-03-06 07:25:25.000000,U-BOLT,QME682,Front U-Bolt
2017-03-06 07:27:59.910000,OMT Offline Tracking,RZW691,Enter Offline
2017-03-06 07:28:26.890000,Cab Call Scan,JLD084,B Line
2017-03-06 07:33:15.450000,Cab call scan,MBF976,A Line
2017-03-06 07:33:35.967000,Cab Conveyer,FNG604,Cab Upload 2
2017-03-06 07:33:35.967000,Cab Conveyor / Monorail,FNG604,Cab Upload
2017-03-06 07:35:50.400000,Assembly Line Tracker,BEM390,Pool 13 Start
2017-03-06 07:35:50.763000,Assembly Line Tracker,CXD285,Pool 13 Start
2017-03-06 07:35:51.120000,Assembly Line Tracker,SYB619,Pool 13 Start
2017-03-06 07:37:19.227000,Cab Call Scan,JDY852,B Line
2017-03-06 07:40:28.937000,OMT Offline Tracking,FUR610,Enter Offline
2017-03-06 07:42:24.547000,OMT Offline Tracking,GYV645,Enter Offline
2017-03-06 07:42:39.163000,Cab Conveyer,YKZ247,Cab Upload 2
2017-03-06 07:42:39.163000,Cab Conveyor / Monorail,YKZ247,Cab Upload
2017-03-06 07:43:12.313000,Cab call scan,EGK921,A Line
2017-03-06 07:43:55.000000,STVMS Tracking Chassis Start,PEK163,Chassis Start
2017-03-06 07:44:03.000000,STVMS Tracking Chassis Start,SYB619,Chassis Start
2017-03-06 07:44:05.000000,STVMS Tracking Chassis Start,CXD285,Chassis Start
2017-03-06 07:44:08.000000,STVMS Tracking Chassis Start,BEM390,Chassis Start
2017-03-06 07:44:12.000000,STVMS Tracking Chassis Start,CVE258,Chassis Start
2017-03-06 07:45:25.483000,Hood Conveyor,ALP937,Hood Upload
2017-03-06 07:46:17.993000,Cab Conveyer,NVM832,Cab Upload 2
2017-03-06 07:46:17.993000,Cab Conveyor / Monorail,NVM832,Cab Upload
2017-03-06 07:47:05.000000,U-BOLT,SLP187,Front U-Bolt
2017-03-06 07:48:12.847000,Hood Conveyor,CSD174,Hood Upload
2017-03-06 07:50:50.383000,Assembly Line Tracker,ETO603,Pool 13 Start
2017-03-06 07:50:50.810000,Assembly Line Tracker,CVE258,Pool 13 Start
2017-03-06 07:51:45.000000,STVMS Tracking Chassis Start,ETO603,Chassis Start
2017-03-06 07:51:56.420000,Cab Conveyer,MBF976,Cab Upload 2
2017-03-06 07:51:56.420000,Cab Conveyor / Monorail,MBF976,Cab Upload
2017-03-06 07:53:55.387000,Cab call scan,XYI250,A Line
2017-03-06 07:54:29.201293,Paint Inspection,CNZ205,PAINT
2017-03-06 07:55:26.000000,U-BOLT,SGN329,Front U-Bolt
2017-03-06 07:55:56.671054,Paint Inspection,MQH836,PAINT
2017-03-06 07:58:19.347000,Hood Conveyor,TPD286,Hood Upload
2017-03-06 07:59:28.340000,Cab Conveyer,JLD084,Cab Upload 2
2017-03-06 07:59:28.340000,Cab Conveyor / Monorail,JLD084,Cab Upload
2017-03-06 07:59:31.057000,OMT Offline Tracking,WMR075,Enter Offline
2017-03-06 08:00:50.397000,Assembly Line Tracker,ALP937,Pool 13 Start
2017-03-06 08:00:50.833000,Assembly Line Tracker,RCF947,Pool 13 Start
2017-03-06 08:01:36.777000,OMT Offline Tracking,YKL520,Enter Offline
2017-03-06 08:02:34.283000,Cab Call Scan,BHK490,B Line
2017-03-06 08:03:53.067000,Hood Conveyor,JYI091,Hood Upload
2017-03-06 08:05:26.000000,U-BOLT,TCS146,Front U-Bolt
2017-03-06 08:07:38.917000,Cab Conveyer,EGK921,Cab Upload 2
2017-03-06 08:07:38.917000,Cab Conveyor / Monorail,EGK921,Cab Upload
2017-03-06 08:09:07.720924,Paint Inspection,HRY673,PAINT
2017-03-06 08:09:48.000000,U-BOLT,OQA530,Front U-Bolt
2017-03-06 08:10:02.770000,Cab call scan,UYZ958,A Line
2017-03-06 08:10:29.827000,Hood Conveyor,TQL981,Hood Upload
2017-03-06 08:13:57.793000,Cab Conveyer,JDY852,Cab Upload 2
2017-03-06 08:13:57.793000,Cab Conveyor / Monorail,JDY852,Cab Upload
2017-03-06 08:14:05.355232,Paint Inspection,MRI015,PAINT
2017-03-06 08:14:05.947000,OMT Offline Tracking,KHN863,Enter Offline
2017-03-06 08:14:52.617000,OMT Offline Tracking,QFB620,Enter Offline
2017-03-06 08:15:50.443000,Assembly Line Tracker,CSD174,Pool 13 Start
2017-03-06 08:16:34.000000,U-BOLT,DFZ024,Front U-Bolt
2017-03-06 08:17:36.510000,Cab Call Scan,TNY179,B Line
2017-03-06 08:17:56.530000,Hood Conveyor,KQN543,Hood Upload
2017-03-06 08:19:12.247000,Cab Conveyer,XYI250,Cab Upload 2
2017-03-06 08:19:12.247000,Cab Conveyor / Monorail,XYI250,Cab Upload
2017-03-06 08:21:03.047000,Hood Conveyor,XGW598,Hood Upload
2017-03-06 08:23:43.380000,Cab call scan,PYH561,A Line
2017-03-06 08:25:50.907000,Assembly Line Tracker,JYI091,Pool 13 Start
